variant,split,budget_pct,slice,decisions,coverage,selected_disagreement,defer_precision,false_positive_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
linear,round11_feature_cache_seed315,0.25,overall,4344,0.0025322283609576428,0.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9677716390423573,0.0,0.0
linear,round11_feature_cache_seed315,0.25,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,0.25,hard_near_tie,832,0.0,0.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0
linear,round11_feature_cache_seed315,0.25,stable_near_tie,810,0.0,0.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0
linear,round11_feature_cache_seed315,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,0.25,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0
linear,round11_feature_cache_seed315,0.25,large_gap_control,951,0.002103049421661409,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
linear,round11_feature_cache_seed315,0.5,overall,4344,0.0050644567219152855,0.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9677716390423573,0.0,0.0
linear,round11_feature_cache_seed315,0.5,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,0.5,hard_near_tie,832,0.0,0.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0
linear,round11_feature_cache_seed315,0.5,stable_near_tie,810,0.0,0.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0
linear,round11_feature_cache_seed315,0.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,0.5,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0
linear,round11_feature_cache_seed315,0.5,large_gap_control,951,0.007360672975814932,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
linear,round11_feature_cache_seed315,1.0,overall,4344,0.010128913443830571,0.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9677716390423573,0.0,0.0
linear,round11_feature_cache_seed315,1.0,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,1.0,hard_near_tie,832,0.0,0.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0
linear,round11_feature_cache_seed315,1.0,stable_near_tie,810,0.0,0.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0
linear,round11_feature_cache_seed315,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,round11_feature_cache_seed315,1.0,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0
linear,round11_feature_cache_seed315,1.0,large_gap_control,951,0.029442691903259727,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
