variant,split,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,target_match_rate,base_target_match_rate,compute_target_match_rate,mean_delta_regret,mean_delta_miss
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,overall,4344,0.0011510128913443832,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,large_gap_control,951,0.002103049421661409,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,overall,4344,0.0025322283609576428,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,large_gap_control,951,0.0031545741324921135,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,overall,4344,0.0050644567219152855,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,large_gap_control,951,0.008412197686645636,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,overall,4344,0.007596685082872928,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,large_gap_control,951,0.013669821240799159,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,overall,4344,0.010128913443830571,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,large_gap_control,951,0.019978969505783387,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,overall,4344,0.015193370165745856,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,large_gap_control,951,0.027339642481598318,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,overall,4344,0.020027624309392266,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,hard_near_tie,832,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,large_gap_control,951,0.030494216614090432,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,overall,4339,0.00115233924867481,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,hard_near_tie,657,0.0030441400304414,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,overall,4339,0.002535146347084582,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,hard_near_tie,657,0.0106544901065449,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,overall,4339,0.005070292694169164,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,hard_near_tie,657,0.0167427701674277,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,overall,4339,0.0076054390412537455,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,hard_near_tie,657,0.030441400304414,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,overall,4339,0.010140585388338327,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,hard_near_tie,657,0.0380517503805175,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branch_strength_negative_cleanup_lift_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
