family,variant,split,budget_pct,slice,decisions,selected_count,coverage,stable_positive_total,stable_positive_selected,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_positive_v2,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739354,-0.19739354,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,hard_near_tie,832,11,0.013221153846153846,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.228755213846155,-2.3258973550000044,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_near_tie,810,11,0.013580246913580247,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.239620127925926,-2.2835121550000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,high_headroom_near_tie,35,11,0.3142857142857143,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23926816057142852,0.7576969979999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,baseline_error_near_tie,71,11,0.15492957746478872,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806778338309859,0.7021005250000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,large_gap_control,951,3,0.0031545741324921135,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.948521179590431,-1.03370585,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,overall,4344,33,0.007596685082872928,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9680018416206262,-0.0024998455855508315,0.0,-0.32907058253432764,0.0,-0.00023020257826887662,-0.030303030303030304,0.00023020257826887662,-3.8172274802497466,-0.6109696500000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_positive_v2,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739354,-0.19739354,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,hard_near_tie,832,11,0.013221153846153846,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.228755213846155,-2.3258973550000044,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_near_tie,810,11,0.013580246913580247,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.239620127925926,-2.2835121550000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,high_headroom_near_tie,35,11,0.3142857142857143,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23926816057142852,0.7576969979999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,baseline_error_near_tie,71,11,0.15492957746478872,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806778338309859,0.7021005250000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,large_gap_control,951,3,0.0031545741324921135,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.948521179590431,-1.03370585,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,overall,4344,44,0.010128913443830571,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9680018416206262,-0.0024998455855508315,0.0,-0.24680293690074573,0.0,-0.00023020257826887662,-0.022727272727272728,0.00023020257826887662,-3.8172274802497466,-0.6109696500000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,stable_positive_v2,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739354,-0.19739354,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,hard_near_tie,832,12,0.014423076923076924,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.228755213846155,-2.3258973550000044,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,stable_near_tie,810,12,0.014814814814814815,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.239620127925926,-2.2835121550000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,high_headroom_near_tie,35,12,0.34285714285714286,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23926816057142852,0.7576969979999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,baseline_error_near_tie,71,12,0.16901408450704225,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806778338309859,0.7021005250000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.0,large_gap_control,951,3,0.0031545741324921135,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.948521179590431,-1.03370585,memory_agree_blend_hybrid
