seed,variant,experiment,test_next_hop_accuracy,average_regret,p95_regret,deadline_miss_rate,gpu_hours
311,Multiheavy,e3_memory_hubs_rsm_round4_multiheavy_seed311,0.9522059033898747,1.5011754035949707,5.962328910827637,0.4375,0.07058892495102352
311,Multiheavy+PathReranker,a3_e3_multiheavy_path_reranker_round4_seed311,0.9534313854049233,1.3653582334518433,5.706894874572754,0.375,0.06248185488912794
312,Multiheavy,e3_memory_hubs_rsm_round4_multiheavy_seed312,0.9473039367619682,1.9167025089263916,5.445607662200928,0.4375,0.06524410651789771
312,Multiheavy+PathReranker,a3_e3_multiheavy_path_reranker_round4_seed312,0.9558823669657988,1.7760591506958008,5.445607662200928,0.4375,0.0603397356139289
313,Multiheavy,e3_memory_hubs_rsm_round4_multiheavy_seed313,0.9750000198682149,0.5548397302627563,2.903914213180542,0.375,0.08878031657801734
313,Multiheavy+PathReranker,a3_e3_multiheavy_path_reranker_round4_seed313,0.9666666905085246,0.5548397302627563,2.903914213180542,0.375,0.06377940383222368
mean,Multiheavy,Multiheavy-mean,0.9581699533400192,1.3242392142613728,4.770616928736369,0.4166666666666667,0.22461334804693855
mean,Multiheavy+PathReranker,Multiheavy+PathReranker-mean,0.9586601476264156,1.2320857048034668,4.685472249984741,0.3958333333333333,0.18660099433528052
